,title,author,date,body,rating,airport,type_of_lounge,date_visit,type_of_traveller,comfort,cleanliness,bar_&_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,lounge_name
166,"""limited operating times""",A Wheatley,2014-10-04,Very Clean good choice of drinks and food easy access to services limited operating times good to have a few drinks before the long haul to Sydney or Brisbane.,5,darwin airport,business class,,business,4,5,5.0,5.0,5.0,5.0,5.0,yes,
167,"""decor is pleasant and modern""",R Yee,2014-08-12,Used the (almost) new LAX Oneworld lounge for the first time. Not having experienced the previous one I'm guessing this is a vast improvement on what it replaced judging from the publicity. Decor is pleasant and modern with good bar / food facilities (if very cramped). Biggest problem is the First lounge isn't yet finished. As a result the new lounge is like an overcrowded food court with people using chairs as tables and footrests for sleeping that's if you can find a spare chair. The overall noise level is much like a shopping mall. There are also only 9 showers which seems inadequate for an international gateway port. It seems destined to become undersized only soon after opening. Having flown extensively on CX through HK & EK through DXB this lounge falls far short of those facilities. The biggest issue is zero privacy or quiet space which are what most long-haul business travellers crave and get in those cities. I guess considering the hell American air travellers endure in North America it's probably a welcome haven. But by international standards it's a falls quite a way short of the mark. Here's hoping the new First lounge makes amends when finished.,3,los angeles lax airport,business class,,business,1,4,4.0,3.0,3.0,4.0,4.0,yes,oneworld lounge
168,"""lounge had a lovely ambience""",Debra Donald,2014-08-06,I had a late PM flight with a OneWorld partner. The lounge was quite empty but it had a lovely ambience. I didn't really pay much attention to the food due to how late it was but I had a small plate of cheese and some lovely sparkling wine (and then a Jamieson as a night cap). It was extremely welcoming and lovely to be away from the disaster that is currently Brisbane International Airport with the renovation happening on L3. The bathroom was spotless and the few staff around were pleasant enough.,5,brisbane airport,business class,,business,5,5,5.0,3.0,5.0,5.0,4.0,yes,
169,"""pretty spacious with plenty of seating""",W Meyler,2014-08-06,The lounge is pretty spacious with plenty of seating. I arrived at 3:30 pm for a 5:30 flight so had a good couple of hours here. Bar has a very good selection with some nice red and whites. A good selection of beer both local and international. Also a good selection of spirits and liqueurs. The food on the other hand is terrible. Qantas should be ashamed to offer this level of food to business customers. You could be forgiven in thinking that you are eating a sizzler. Actually that would be better. The toilets are clean but the place has a little bit of age. If you are paying a Qantas club lounge membership then you will be disappointed. Auckland airport in general is better fitted out than the lounge.,3,auckland airport,,,,3,3,4.0,1.0,2.0,3.0,3.0,no,
170,"""one of the best lounges""",Jim Ash,2014-06-04,Qantas' International First Class Lounge/Sydney Airport is one of the best lounges I have experienced aside from Cathay's Hong Kong First Lounge. The separate dining area is amazing with many options and the personal attention is wonderful. Even later as I was there for a few hours prior to flying to Dallas I had some items from the self-service area which to me was quite an assortment of snacks to small meal-like offerings and beverages galore. Separate areas for computer use relaxing the library and of course views of the planes with floor to ceiling windows create private yet open feel.,5,sydney airport,first class,,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
171,"""seating area was not that comfortable""",Ronald Binding,2014-05-12,I was looking forward to this lounge as it was the first time in Singapore. I thought I was walking into a cafeteria all hard surfaces and noisy. The seating area was not that comfortable low hard chairs with low tables. The shower and toilets were ok but I was travelling with a friend who had been there before the renovations and said that these had not been touched. Another thing is the dress code (or lack of it) - some travel as if they are going to the beach. I'm talking of singlets shorts and throngs can't they buy a $5 t-shirt at least and a pair of joggers. Come on Qantas lift your game.,3,singapore changi airport,business class,,business,1,3,3.0,3.0,2.0,3.0,5.0,no,
172,"""poor variety of food and drinks available""",Irene Dymond,2014-05-12,Very poor variety of food and drinks available. Cheeses were tasteless and bread rolls did not taste fresh. If you want something tasty eat before you get to this lounge. Very very quiet which some will see as a bonus.,3,auckland airport,business class,,business,3,4,1.0,1.0,3.0,4.0,2.0,no,
173,"""spacious and clean showers""",D Goldspring,2014-05-01,New Qantas lounge in Terminal 1. Excellent facilities including spacious and clean showers bar with beer on tap adequate selection of wines and spirits and a barman to serve you. Extensive selection of hot and cold food including a choice of 2 dishes made to order and served to you in the dining area.,5,singapore changi airport,business class,,business,4,5,5.0,5.0,5.0,5.0,5.0,yes,
174,"""lack of choice in food and beverages""",C Hamilton,2014-03-30,Overcrowded great barista coffee and accompanying muffins avoid the basic boring usual items and wait for the good stuff on the plane. Breakfast is the usual fair chipolata sausages cold hash browns soggy tomatoes. Lunch is usually soup and a selection of rolls. The food in here doesn't match the decor even if it is hard to find a seat! Friendly staff make up for the lack of choice in food and beverages are pretty good.,3,sydney airport,business class,,business,3,3,4.0,1.0,3.0,4.0,3.0,no,
175,"""amongst the best anywhere""",P Taylor,2014-03-30,I guess if you come from Sydney or Melbourne you are spoilt by the QF first class lounges which are amongst the best anywhere particularly on the catering front and I also guess you shouldn't expect anything special airline wise in the US but really the all in one world first class lounge in Lax is pretty ordinary. Given most really long hauls like to Australia leave very late one would expect an option to eat before boarding. Well you can have snacks but that is about it. The other thing about this lounge and the business class lounge is finding them. They are on the 5th floor but given entry through immigration at the tom Bradley terminal is a bit like entering the corridors of an underground prison the narrow corridors and lack of signage give little indication of where to go for anything. Incredibly on the 3rd floor which is the departure level there is a completely new world of shops and glitz so why can't Qantas get with the new Tom Bradley theme. The other thing is the very good BA/Qantas premium check in area is gone. Now if want to check in early because your hotel has thrown you out it is an all in check in affair which despite the sign saying business/ first class means nothing. For those of you have tried to understand the psyche of the US travel who wants to pay nothing for the airfare but then argue at check in for a first class seat delays can be considerable.,3,los angeles lax airport,first class,,,3,5,4.0,2.0,3.0,3.0,4.0,no,oneworld lounge
176,"""Customer service outstanding""",C Oates,2014-03-03,Spacious uncrowded. Great food options including two made-to-order signature dishes reflecting the best of local cuisine styles in a lively eating area. Try a Singapore Sling - the equal of Raffles Long Bar version. Quieter lounge zone available for relaxing or laptop use. Fast Wi-Fi. Customer service outstanding.,5,singapore changi airport,business class,,business,4,5,5.0,5.0,5.0,5.0,5.0,yes,
177,"""very clean and staff very attentive""",J Freeman-Duffy,2014-01-13,Qantas International Business Lounge in Sydney. Lounge was very spacious very clean and staff very attentive with service and cleaning of the lounge. Lounge wasn't very busy which was a surprise. Food on offer was okay not great some more offerings would be good Beverages on the other hand were great. They had my beer on tap (Fat Yak). Overall pleasant experience and good relaxation before any long haul flight.,4,sydney airport,business class,,business,4,4,5.0,3.0,5.0,4.0,4.0,yes,
178,"""It is consistently so bad""",Alan Pedley,2013-11-15,For years this lounge has shared what must be a 56k dial-up Internet connection. For business travellers hoping for last minute skype e-mail etc before the 14-15hr flight back to oz forget it. Better staying in AA T4 and catching a late shuttle to Tom Bradley. It is consistently (6 times per year since this new lounge format opened) so bad I cannot begin to describe.,2,los angeles lax airport,first class,,,2,4,3.0,2.0,3.0,1.0,2.0,no,
179,"""a friendly engaging welcome on arrival""",J Jones,2013-09-15,The lounge was great a friendly engaging welcome on arrival from the team at the desk. The lounge was very clean and tidy well stocked with newspapers and magazines. The buffet was well presented and I noticed the staff replenishing and tidying the food spills. Barista coffee was superb and the young lady serving had a keen interest in her customers. A great experience in a comfortable lounge which reminded me why reminded me why I fly Qantas.,5,adelaide airport,business class,,business,5,5,5.0,4.0,5.0,5.0,5.0,yes,
180,"""surprised how crowded the lounge was""",R Wilkinson,2013-09-15,Was surprised how crowded the lounge was. Had trouble finding a seat. Good selection of food and drink and a pleasant view onto tarmac. Seating comfortable.,4,wellington airport,business class,,business,4,5,4.0,4.0,4.0,5.0,5.0,yes,
181,"""never designed for the traffic""",A McNicol,2013-09-15,Qantas have now rescheduled most Asian flights for mid morning departures. Also departing at this time are flights to all New Zealand airports and South Africa!! Plus don't forget all the One-World and other carriers that also use this Lounge. You do not need to be a genius to work out that this means massive over-crowding in one small time slot. Yet another diminution of the Qantas brand. A previously really good lounge with great food services and staff but never designed for the traffic in this time slot.,3,sydney airport,business class,,business,2,3,4.0,4.0,,4.0,4.0,yes,
182,"""lounge at Melbourne seemed very sedate""",T Collier,2013-08-14,Unlike the scrum of the Qantas club through the door the business lounge at Melbourne seemed very sedate. We arrived at that time in-between breakfast finishing but being too early for lunch so there weren't too much food options available for us. The lattes were expertly made I have to say but would have been nice to have had some sort of biscuit/cake to go with them. Soft drinks were via a soda dispenser but the glasses are tiny - more designed for adding a mixer to alcohol than for someone wanting just a pure glass of Sprite. Plenty of magazines/newspapers to read or you can watch the world go by looking out the big windows that overlook the gates. Free and unlimited wifi was available in the lounge.,4,melbourne airport,business class,,business,5,5,4.0,3.0,5.0,5.0,4.0,yes,
183,"""A zoo""",J Moore,2013-07-31,A zoo. Used the lounge on 6 July 0830-0930 en route to Singapore. The place was packed to the rafters and seating difficult to find tables a mess of post breakfast debris and the decor is really showing its age - especially if you compare it with the First Class lounge next door. Australians are great lounge users through the QF Club membership scheme consequently international BC lounges are heavily used by economy travelling but club member passengers. Domestically Qantas has come to realise that Business class paying passengers deserve their dedicated lounges away from the scrum of the club it's now time Qantas realised that international customers paying a hefty premium to stay loyal to Qantas.,3,sydney airport,business class,,business,2,2,4.0,4.0,4.0,4.0,3.0,no,
184,"""more than enough space before our flight""",A Kenny,2013-07-31,Visited early May and was surprised by the experience after reading some bad reviews for LAX. I assume this was the new lounge in the Tom Bradley terminal. There were 3 large screen TV's with NBA MLB and NHL being televised. Bar service great with loads of choice as well as a self service area. More than enough space before our flight to Sydney at 10.10pm in the evening with a number of laptops available. Food selection not quite as good as Emirates Lounges but still adequate. Definitely recommend.,5,los angeles lax airport,business class,,business,5,5,5.0,4.0,5.0,5.0,5.0,yes,
185,"""noisy cafeteria styled open lounge""",G Satchell,2013-07-31,I fly in and out of Singapore on business frequently and naturally I was keen to visit the newly renovated Qantas lounge. Whoever designed this lounge has obviously never had to do business in an airport lounge. It has been transformed into a noisy cafeteria styled open lounge. The hard surfaces (walls and floor) create a vast noisy cavern with no consideration for acoustics. Qantas has completely overlooked the business class traveller here. There are no work stations or desk areas and if you need to print anything you have to go to the check in desk to collect your private and personal documents. I'm standing at a chest height bar trying to use the laptop as every table is full. If I sit down my hands are at shoulder height trying to type. Despite a good bar and what looks to be a good food selection this lounge is no better than the basic Qantas Club lounge in Sydney or Melbourne.,3,singapore changi airport,business class,,business,2,3,3.0,4.0,3.0,4.0,4.0,no,
186,"""amenities provided have all but disappeared""",Robert Grave,2013-07-31,Although the first class lounge has been in operation or a few years now and the standard of service in the restaurant is first class (run by Sofitel) the amenities provided (moisturiser razors etc.) have all but disappeared. There wasn't even a toothbrush to be had and I had to go to the desk to ask for one. Considering what one pays for business and first class with Qantas compared to some other airlines I would have expected better.,4,melbourne airport,first class,,,5,4,5.0,5.0,3.0,4.0,5.0,yes,
187,"""there was a nice feeling to the lounge""",B Rippingale,2013-07-31,Had a 2 hour visit to this lounge courtesy of Air New Zealand. Lots of seating with armchairs sofas and dining areas. Several TV screens with 2 large surrounded by comfy seating. Several shower/toilets well maintained and clean although unsure if how to get a towel if you needed a shower. There was a selection of drinks including spirits soft drinks and coffee/Tea. Overall there was a nice feeling to the lounge light roomy and welcoming. Unfortunately food was lacking in choice cold selection was ok salad cold meat and cheese. As for the hot food there was curry and nothing else. No choice and no rice to accompany the dish. This must be the worst business lounge for hot food choice anywhere. As for dessert there was a choice of chocolate brownies and lollies. Once again very disappointing. This would definitely put me off using Qantas Business class especially as this was the international Lounge. Overall good if you want to have a drink and relax but Don't go in to eat.,4,perth airport,business class,,business,4,4,4.0,1.0,4.0,5.0,4.0,yes,
188,"""staff fabulous""",Chee Beng Ter,2013-07-07,Got a complimentary Qantas Club pass from my partner to use on my trip SYD-SIN-SYD last month. Decided not to use it on the lounge in Sydney Int'l Airport as it is always crowded but on Singapore Lounge. My choice proved me right the new lounge is great there are more seats inside the lounge with power supply and USB charging. Staff fabulous and tables are cleaned when guests left. Bars well stock and the buffets and menu are good.,5,singapore changi airport,business class,,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
189,"""lounge is spacious with a modern décor""",T Kinder,2013-07-07,Sydney International Business lounge is spacious with a modern decor. Around 13:00 once the lunchtime flights to LAX and Singapore depart it's quiet. The informal 'island dining' was pleasant and there were additional food buffets - including a very tasty Fijian style goat curry. The gelato bar was a nice touch - only 6 varieties but a nice after meal palette cleanser. There are ample Australian wines (no Champagne) top shelf spirits (but no malt whisky) international and Australian beers and soft drinks. A barista is present to make coffees. The staff were extremely pleasant - perhaps because of the early afternoon lull they had more time to interact with the few passengers waiting for the late afternoon flight to Dubai/LHR and were happy to have a chat. The vista is nothing special - though you can watch plane movements across the apron if that's your thing. Altogether a pleasant and enjoyable experience and a nice way to start a holiday.,4,sydney airport,business class,,business,5,4,4.0,4.0,4.0,5.0,5.0,yes,
190,"""does not offer any additional value""",M Wallner,2013-05-29,Compared to the excellent Business Lounge the First Class Lounge does not offer any additional value. It's smaller and at certain times quite full. I would recommend the Business Lounge next to it if it's too full in the First Lounge.,3,,first class,,,2,4,3.0,3.0,4.0,4.0,3.0,no,
191,"""staff and food are way above most other lounges""",S Barnetson,2013-05-29,Had Use of this lounge on the way to Frankfurt via Ho Chi Min City as Vietnam Air and Qantas codeshare on this leg of the Trip. It may need a bit of an update with furnishings but the staff and food are way above most other lounges. The most impressive thing in this lounge is the showers and the selection of drinks both Alcoholic and non. People who complain should visit the Star Alliance lounge in Frankfurt or one of the lounges at Gatwick.,5,sydney airport,business class,,business,4,4,5.0,5.0,5.0,5.0,5.0,yes,
192,"""skilled and welcoming staff""",Eric Daniels,2013-05-29,Excellent new lounge for Qantas at Singapore. High quality service with skilled and welcoming staff. Very good range of food and drinks catering to all tastes. Personalised level of service unique to usual lounge experience.,5,singapore changi airport,business class,,business,5,5,5.0,5.0,4.0,5.0,5.0,yes,
193,"""It really is just so average""",W Anstey,2013-04-24,"The new lounge in hadn't opened on our way thru to HKT on 8th April but had by the time we came back on 16th April. What a disappointment! Being Platinum I was led to believe it was like the brilliant First class lounge in Sydney. Not so. How about no computers or showers! How about sitting cafeteria style with bowls of buns in spots along the table where you would have to request another diner to ""pass the bread please"". It really is just so average. We had to go back to the BA lounge to use a computer. I thought it was a First class lounge but it is open to everyone from Qantas Club to Business class and everyone in between by the look of it. On the other hand the staff were fantastic and will obviously enjoy working in their new environment.",3,singapore changi airport,business class,,business,3,5,4.0,4.0,2.0,1.0,5.0,no,
194,"""a very small but very clean lounge""",Craig Ritchie,2013-04-16,A very small but very clean lounge. Packed out as we awaited our flight back to Sydney at 10am from Honolulu. Service excellent food selection okay drink selection ditto. Toilets very clean. Only downside is the lounges wifi and business pc's both as slow as a wet week badly in need of upgrading particularly the 3 PC's. Good selection of Australian magazines and newspapers.,4,honolulu airport,business class,,business,4,5,3.0,3.0,5.0,1.0,5.0,yes,
195,"""found this lounge quite pleasant""",Craig Ritchie,2013-04-16,I found this lounge quite pleasant. PCs etc were quite slow but food service was excellent. Its a very small lounge so its not hard to have it quite full but we found quiet seats where the PCs were. Toilets immaculate lounge very clean staff great food good given we had a 11am flight to Sydney. Lounge could do with updating but given that Qantas don't have many flights out of Honolulu its suitable for the passengers.,4,honolulu airport,business class,,business,4,5,5.0,4.0,5.0,3.0,5.0,no,
196,"""One Asian option is OK but everything?""",J Straga,2013-04-16,The lounge hot menu is Chinese. I am confused as to why Qantas feed their Australian business only Asian food. The only other things we could eat were Thai spring rolls with no taste. The drinks were nice and so was the fresh fruit. One Asian option is OK but everything?,3,hong kong airport,business class,,business,4,4,5.0,1.0,3.0,2.0,4.0,no,
197,"""nice new lounge with enough seating""",A McNicol,2013-04-16,Nice new lounge with enough seating for all at peak morning period. The staff were great with a level of service lacking in the bigger Qantas lounges. Food the same as everywhere else adequate but some variety would be appreciated.,4,gold coast airport,business class,,business,5,5,4.0,3.0,4.0,3.0,5.0,yes,
198,"""cold uninviting and lacked any atmosphere at all""",M Huntly,2013-04-16,Had the opportunity to use the newly opened Qantas lounge at Changi on the 10th of April and cant say that I wasn't overly impressed at all. Cold uninviting and lacked any atmosphere at all. The staff however are wonderful and made up for what the lounge itself lacked. Am wondering who may have designed the space and secondly who approved it I expected Qantas to come up with a lot better.,4,singapore changi airport,business class,,business,2,3,5.0,5.0,4.0,5.0,5.0,yes,
199,"""lounge is very dated and showing its age""",A Donnellan,2013-04-04,Lounge is very dated and showing its age with drab colour scheme and tired furnishings. However they have an excellent selection of food and wines. No French fizz but the Sallinger sparkling is very good. Highlight of my visit was the gelato bar. The staff at the desk and in the lounge were friendly. The wifi has finally been fixed.,5,sydney airport,business class,,business,4,5,5.0,5.0,5.0,5.0,5.0,yes,
200,"""lounge is very dated and showing its age""",A Donnellan,2013-04-04,Lounge is very dated and showing its age with drab colour scheme and tired furnishings. However they have an excellent selection of food and wines. No French fizz but the Sallinger sparkling is very good. Highlight of my visit was the gelato bar. The staff at the desk and in the lounge were friendly. The wifi has finally been fixed.,5,sydney airport,business class,,business,4,5,5.0,5.0,5.0,5.0,5.0,yes,
201,"""very spacious very clean""",C Ritchie,2013-03-20,Adelaide Terminal is a MASSIVE improvement from the old one that I last flew into. The Qantas Club near Gate 23 is pretty much brand new very spacious very clean and well laid out. A lot of people were using it the food selection was very good the service by staff excellent and the toilets were outstanding. Very very pleasant indeed wish this were the case in the Qantas Club lounges in Sydney and Brisbane (they need updating badly). The only issue we had is that if your flight is in Gates below 16 then you have a significant walk to make the relevant gate so make allowance for this.,5,adelaide airport,business class,,business,5,5,5.0,4.0,5.0,5.0,5.0,yes,
202,"""Qantas has got it right""",Mark McCutcheon,2013-02-18,Qantas has got it right when it comes to bringing kids into their lounges. In contrast with BA's policy of counting young children as guests Qantas takes a different position allowing a member to bring in one guest and their children.,4,singapore changi airport,business class,,business,4,5,5.0,4.0,5.0,4.0,4.0,yes,
203,"""overcrowded hot dirty and a little run down""",R van Niekerk,2013-02-04,I found this lounge overcrowded hot dirty and a little run down. Bathrooms were dirty with some stalls inoperative. Staff were unfriendly and even sarcastic at times. This experience ruined my opinion of Qantas and my preference for flying with them.,2,sydney airport,business class,,business,2,2,4.0,3.0,2.0,,1.0,no,
204,"""food selection really poor""",Peter Greich,2012-11-22,Dreadful lounge at Honolulu airport. Far removed from the immigration check points. Food selection really poor. As explained by staff the only hot selection was toast. Lounge is cramped and dated. The male staff member was outstanding in ensuring that passengers were attended too.,2,honolulu airport,business class,,business,2,3,2.0,1.0,2.0,2.0,4.0,no,
205,"""lounge offers good views of the runway""",R Turner,2012-11-16,The Qantas Club at Hobart Airport is now inside security thanks to a new corridor but is still by far the smallest of the capital city airports. On my last trip to Sydney I visited the lounge and there was just one seat left. Due to the limited space the chairs are also squashed much closer than other Qantas lounges. On a positive note the lounge offers good views of the runway and parked aircraft.,4,hobart airport,business class,,business,3,5,5.0,3.0,2.0,3.0,5.0,yes,
206,"""Quite basic and dark decor very dated""",K Hirst,2012-09-27,Quite basic and dark decor very dated. Food uninspiring and basic but then it was a very late night departure (nearly midnight) so maybe the options were better earlier in the evening. Lots of monitors to ensure you don't miss your flights. The bathrooms were not great. Overall pretty average.,2,brisbane airport,business class,,business,4,3,3.0,3.0,3.0,,,no,
207,"""good choice of food and drink available""",Craig Ritchie,2012-09-17,Quite a nice lounge with a good choice of food and drink available. Wifi available must ask reception for the password. Very clean showers and toilets. Staff service very good. Good selection of Australian newspapers/magazines available. Very close to the Qantas boarding gates in the G Concourse of Bangkok International.,5,bangkok suvarnabhumi airport,business class,,business,4,5,4.0,4.0,5.0,5.0,5.0,yes,
208,"""large and clean lounge""",Annalisa Greene,2012-08-31,Large and clean lounge. Excellent food and beverage selection. Clean and tidy showers and bathroom facilities. Overlooks the airport so you can look out the widow and see planes! Staff were pleasant on checking in however the staff working in the lounge didn't really engage in chat or smile as you passed by. They were just concentrating on doing whatever they were doing. A fabulous calm place to wait instead of with the screaming masses of kids and excited travellers.,5,sydney airport,business class,,business,5,5,5.0,5.0,5.0,5.0,4.0,yes,
209,"""excellent lounge - very warm atmosphere""",G James,2012-08-05,Excellent lounge - very warm atmosphere. The showers were spotless. The food was excellent and there was a very good range of both cold and hot food available even at the late hour of 10 p.m. Lovely Minestrone soup - piping hot. A very relaxing place - wish all lounges were this nice.,4,brisbane airport,business class,,business,5,5,5.0,5.0,5.0,,5.0,yes,
210,"""ample comfortable seating""",S Moolchandaney,2012-08-05,Very well lit spacious areas and ample comfortable seating. Wide choice of beverages and snacks. The Restaurant Dining looked good ( though did not try ). Same for the Spa. Nice working areas with sufficient iMacs. In the early morning busy hour the lounge still had enough seating. Courteous staff.,5,sydney airport,first class,,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
211,"""lounge is comfortable plenty of seating""",Craig Ritchie,2012-07-25,A quiet Business lounge located at the Brisbane International whilst waiting for our Hong Kong flight. Lounge is comfortable plenty of seating good coffee available selection of food is not so good very ordinary in fact could do with a revamp. Alcohol available even with a mid morning flight out. Good selection of local papers and magazines available to read as well as free wifi and internet. Overall a serviceable international business class lounge that could do with some fine tuning that would make it a wonderful start to one's departure.,4,brisbane airport,business class,,business,4,4,3.0,3.0,4.0,5.0,3.0,yes,
212,"""It is an okay lounge""",M McGowan,2012-06-18,It is an okay lounge. Has very slow internet but awesome catering. It offers drinks and snacks and overall it is impressive. It can get very busy though right before the flights to Australia.,4,,business class,,business,4,4,5.0,4.0,5.0,1.0,3.0,yes,
213,"""food generally of good quality""",R Pearce,2012-06-05,Food generally of good quality. Food choices not always great (I might be a bit picky) - usually worse when changing over from breakfast to lunch etc. Drink choice excellent. Even when it's busy there's always somewhere to sit. Good view of planes and the city. Computers are great and wifi readily available. One of the selling points when travelling Qantas.,5,sydney airport,business class,,business,4,5,4.0,4.0,5.0,5.0,5.0,yes,
214,"""a thoroughly pleasant experience""",David Beggs,2012-06-05,Pleasant greeting and offered lunch on entering lounge. Very clean and comfortable with frequent offers of snacks - which were delicious. Bathrooms very well appointed and clean. Called for flight at the right time with staff lining up to say goodbye. A thoroughly pleasant experience in a comfortable and well run Lounge.,5,melbourne airport,business class,,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
215,"""has set the standard high""",J Kearney,2012-04-24,The entry is calming and refreshing spaciousness captivating. A La Carte dining sublime for my wife and me the best was the PAYOT Spa. There really is only one problem with this lounge. It has set the standard so high other lounges we experienced were poor in comparison.,5,sydney airport,first class,,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
216,"""there is nothing here""",Puzio Anna,2012-04-24,No wonder no one uses the facility as there is nothing here - almost nothing to eat poor selection of drinks no restaurants. Qantas you are not the first class airline.,3,singapore changi airport,first class,,,4,4,1.0,1.0,3.0,3.0,4.0,no,
217,"""Spa service fantastic""",Y Ren,2012-02-07,Great restaurant service and food. Spa service fantastic. I had facial this time. Plenty of drinks and fruit available. Internet service good computers available as well. Private office is good for some last minute work.,5,sydney airport,first class,,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
218,"""entire feel is shocking""",Soeren Krumrey,2012-01-23,The One world lounge in LAX is as bad as the rest of the airport the First lounge bit gets so cramped before the night time international flights go out that they have to ask passengers via the speaker system to keep all seats free from bags etc so that everyone gets a seat - being cramped into a lounge area with several complete strangers is not my idea of First! Entire feel is shocking and while they have quite nice food options and Champagne the service buffet maintenance etc are not up to scratch during busy periods.,2,,first class,,,3,3,2.0,2.0,1.0,2.0,2.0,no,oneworld lounge
219,"""comfortable enough""",C Stevens,2012-01-23,Small and confusing opening times especially when flights are delayed. The lounge closes you get asked to leave and then can re-enter once it opens later in the morning. Comfortable enough with usual food and drinks. No coffee barista. Wifi works and cold drinks are cold.,4,darwin airport,,,,4,5,5.0,3.0,4.0,5.0,4.0,yes,
220,"""large and spacious but somewhat dark""",R Gonzaga,2011-11-28,Used the lounge in the morning for an international flight to Kuala Lumpur. Large and spacious but somewhat dark. Adequate terminals and wi-fi was available. There was no hot food on offer in the morning just a selection of cereals fruit and yoghurt. A fried or boiled egg would have been nice. The coffee was very good as were the fruit juices on offer. Toilets were clean and well appointed with showers for use. Overall a nice experience but it would have been nice if they had a hot buffet for breakfast.,4,adelaide airport,business class,,business,4,5,4.0,2.0,4.0,4.0,4.0,yes,
221,"""facilities are fair""",E Michael,2011-10-22,Used the lounge when travelling British Airways F-class from HKG to LHR. Facilities are fair but not really up to many airlines First Class levels. The prospect of trying to snatch a meal/dinner before the flight was very limited and aside from some snack type foods or soup there was nothing. Staff at reception polite and friendly but no other service really offered in the lounge aside from cleaning staff. Shower facilities are at the basic end of the quality scale and very mean in terms of the amenities they offer. Not a patch on other Qantas lounges in Australia and clearly BA tries (yet again) to save by using this lounge for their customers (not even any BA branding visible.,3,hong kong airport,first class,,,3,4,3.0,2.0,4.0,4.0,3.0,no,
222,"""lounge is spacious and ample seating""",David Dale,2011-10-22,Lounge is spacious and ample seating. The food selection while not varied was abundant for the lounge. Shower amenities excellent however a bit concerning to see mould growing on the tiled walls. Catering staff asked if she could make sandwiches for me - a nice touch. Drinks ample. There is not much of a view from this lounge but not a problem for short stay. Internet wifi super.,4,singapore changi airport,business class,,business,4,5,4.0,4.0,4.0,5.0,4.0,no,
223,"""very clean and lots of staff""",T Patrick,2011-07-31,Lots of free PC's and different types of seating. Busy but some seating. Really good range of drinks and snacks- no sandwiches but lots of hot food and salad if wanted. Very clean and lots of staff. Impressive.,5,london heathrow airport,business class,,business,4,5,5.0,4.0,4.0,5.0,5.0,no,galleries lounge
224,"""lack of toilets""",D Weiss,2011-07-31,Qantas has hired room 5 above gate 21 which is a fairly large area. Lounge had a good feel to it with plenty of food and drinks available. Staff good and children rooms and business computers plentiful. Only gripe would be the lack of toilets. Toilets were huge one toilet rooms and the lounge only had two per gender. Seeing as this route has only been operating the last 2 months this lounge is more than adequate for the one Qantas flight,4,,business class,,business,5,5,4.0,5.0,3.0,3.0,4.0,no,
225,"""a pleasant lounge""",Ian Henderson,2011-07-31,A pleasant lounge with showers and willing staff. Fine selection of food - wines not a great standard. Plenty of seating and computer positions. Sadly no view. Shared with BA - but few UK newspapers.,5,hong kong airport,business class,,business,5,5,4.0,5.0,5.0,5.0,5.0,no,
226,"""nice atmosphere comfortable lounges""",K Lofhjelm,2011-07-11,Nice atmosphere comfortable lounges  great wifi stunning bathrooms but food choice very poor and no view or outlook.,4,singapore changi airport,business class,,business,4,5,4.0,1.0,5.0,5.0,3.0,no,
227,"""very good spa and massage area""",J Brien,2011-06-29,An exceptionally good a la carte food service provided and staff are very pleasant. Excellent computer facilities. Very modern and clean shower rooms with high quality amenities. The lounge also has a very good spa and massage area. Without question a better first-class lounge than any others that I have used.,5,sydney airport,first class,,,5,5,5.0,5.0,5.0,4.0,5.0,no,
228,"""it is very crowded and thus noisy""",K Franklin,2011-05-28,I use this lounge a few times a year. Every time it is very crowded and thus noisy. Hardly a place to unwind before a flight or between connecting flights. In fact it is one of the most crowded lounges I use anywhere in the world.,4,perth airport,business class,,business,3,4,4.0,4.0,4.0,4.0,4.0,no,
229,"""great breakfast options""",L Mulholland,2011-05-03,Great breakfast options. Free wifi. Lots of reading material and seating options. Great decor. Only gripe was the espresso coffee machine wasn't staffed until I was boarding at 0800. The machine coffee was okay so I survived!,5,melbourne airport,business class,,business,5,5,4.0,5.0,4.0,5.0,4.0,no,
230,"""best lounge I've been in""",M Taylor,2011-05-03,Best lounge I've been in. Staff so attentive without hovering. Spa treatments are first rate. Food in restaurant is cooked to order. A very pleasant experience and made a 6 hour transfer very tolerable.,5,melbourne airport,first class,,,5,5,5.0,5.0,5.0,4.0,5.0,no,
231,"""a quiet comfortable lounge""",G Moloney,2011-05-01,A quiet comfortable lounge poor view outside. Food and beverages plentiful and good. I was doing some work with a colleague while waiting for our flight and found the wi-fi a bit slow but connection was easy and stable. Friendly staff who circulated constantly to keep the place clean.,5,adelaide airport,,,,5,5,4.0,4.0,5.0,4.0,5.0,no,
